Date,Active Energy,Exercise Time ,Body Fat,Sleep Asleep,Sleep Idel,Sleep In Bed,Weight
3/28/2022 0:00,271.7,7,,8.333333333,0,8.333333333, 
3/29/2022 0:00,314.76,26,,8.383333333,2.333333337,10.71666667, 
3/30/2022 0:00,395.76,20,,7.95,2.58333333,10.53333333, 
3/31/2022 0:00,379.19,19,,5.566666667,0.087203268,5.653869935, 
4/1/2022 0:00,329.67,19,,8.066666667,0,8.066666667, 
4/2/2022 0:00,611.2,29,,3.916666667,1.901459269,5.818125936, 
4/3/2022 0:00,374.86,13,,8.25,0.880131631,9.130131631, 
4/4/2022 0:00,365.07,13,,6.5,0.529494016,7.029494016, 
4/5/2022 0:00,360.05,16,,6.324381457,0.600123788,6.924505245, 
4/6/2022 0:00,320.4,17,15,10.73333333,0,10.73333333,57.71
4/7/2022 0:00,253.44,15,,8.5,2.66666667,11.16666667, 
4/8/2022 0:00,284.17,5,,7.4,0.224970055,7.624970055, 
4/9/2022 0:00,452.82,36,,8.666666667,2.500000003,11.16666667, 
4/10/2022 0:00,304.69,28,,7.75,0.25,8, 
4/11/2022 0:00,235.7,12,,9.633333333,1.449999997,11.08333333,56.84
4/12/2022 0:00,15.11,,14.4,11.10517069,1.09831359,12.20348428,57.07
4/13/2022 0:00,414.14,38,,5.016666667,0.749857501,5.766524168, 
4/14/2022 0:00,266.95,8,,11.15,1.11666667,12.26666667, 
4/15/2022 0:00,190,24,,12.23333333,1.98333334,14.21666667, 
4/16/2022 0:00,190.81,3,,8.35,0.183333333,8.533333333, 
4/17/2022 0:00,249.62,9,,7.65,0.372320162,8.022320162, 
4/18/2022 0:00,228.7,29,,8.516666667,0.05,8.566666667, 
4/19/2022 0:00,273.61,22,14.5,9.266666667,0.817210123,10.08387679,57.83
4/20/2022 0:00,419.02,43,,7.783333333,0.95,8.733333333, 
4/21/2022 0:00,219.32,1,,6.416666667,0.401854442,6.818521109,57.11
4/22/2022 0:00,500.27,19,,6.816666667,0,6.816666667, 
4/23/2022 0:00,286.64,19,,8.666666667,3.700000003,12.36666667, 
4/24/2022 0:00,164.52,8,,11.31666667,0.16666666,11.48333333, 
4/25/2022 0:00,239.09,15,14.7,8.816666667,3.733333333,12.55,57.23
4/26/2022 0:00,304.17,30,,10.7,4.3,15, 
4/27/2022 0:00,171.51,9,,9.616666667,4.983333333,14.6,56.28
4/28/2022 0:00,204.55,24,14.1,9.35,2.38333333,11.73333333,55.88
4/29/2022 0:00,138.22,1,,10.04601454,2.70398546,12.75, 
4/30/2022 0:00,502.13,57,,3.35,0.593444013,3.943444013, 
5/1/2022 0:00,347.47,28,,10.61666667,0,10.61666667, 
5/2/2022 0:00,280.73,17,,8.05,1.45,9.5, 
